{ a | a }  
{ czasem | czasem }  
{ czasie | czasie }  
{ czasownik | czasownik }  
{ czechy | Czechy }  
{ czego | czego }  
{ czegos | czegoś }  
{ czekac | czekać }  
{ czekolada | czekolada }  
{ czemu | czemu }  
{ czerwiec | czerwiec }  
{ czerwony | czerwony }  
{ czesc | cześć }  
{ czesciowo | częściowo }  
{ czeski | czeski }  
{ czesto | często }  
{ czlonek | członek }  
{ czlowiek | człowiek }  
{ czolo | czoło }  
{ czterdziesci | czterdzieści }  
{ cztery | cztery }  
{ czuc | czuć }  
{ czwartek | czwartek }  
{ czwarty | czwarty }  
{ czy | czy }  
{ czyjs | czyjś }  
{ czyli | czyli }  
{ czym | czym }  
{ czyms | czymś }  
{ czyn | czyn }  
{ czynic | czynić }  
{ czynnik | czynnik }  
{ czynnosc | czynność }  
{ czysty | czysty }  
{ czytac | czytać }  
{ czyz | czyż }  
{ czyzby | czyżby }  
{ dac | dać }  
{ dach | dach }  
{ dalej | dalej }  
{ daleki | daleki }  
{ daleko | daleko }  
{ dane | dane }  
{ dania | Dania }  
{ danie | danie }  
{ dany | dany }  
{ dar | dar }  
{ dawac | dawać }  
{ dawno | dawno }  
{ dawny | dawny }  
{ decyzja | decyzja }  
{ delikatnie | delikatnie }  
{ delikatny | delikatny }  
{ deska | deska }  
{ deszcz | deszcz }  
{ diabel | diabeł }  
{ dialekt | dialekt }  
{ dla | dla }  
{ dlaczego | dlaczego }  
{ dlatego | dlatego }  
{ dlon | dłoń }  
{ dlugi | długi }  
{ dlugo | długo }  
{ dlugosc | długość }  
{ dno | dno }  
{ do | do }  
{ dobro | dobro }  
{ dobry | dobry }  
{ dobrze | dobrze }  
{ dodac | dodać }  
{ dodatek | dodatek }  
{ dodatkowy | dodatkowy }  
{ dodawac | dodawać }  
{ dojsc | dojść }  
{ dokad | dokąd }  
{ dokladnie | dokładnie }  
{ dokladny | dokładny }  
{ dokola | dookoła }  
{ dokonac | dokonać }  
{ dokonywac | dokonywać }  
{ doktor | doktor }  
{ dokument | dokument }  
{ dol | dół }  
{ dolina | dolina }  
{ dolny | dolny }  
{ dom | dom }  
{ domowy | domowy }  
{ dookola | dookoła }  
{ dopiero | dopiero }  
{ doplyw | dopływ }  
{ dopoki | dopóki }  
{ doprawdy | doprawdy }  
{ doprowadzic | doprowadzić }  
{ dorosly | dorosły }  
{ dosc | dość }  
{ doskonale | doskonale }  
{ doskonaly | doskonały }  
{ doslownie | dosłownie }  
{ dostac | dostać }  
{ dostatecznie | dostatecznie }  
{ dostep | dostęp }  
{ doswiadczenie | doświadczenie }  
{ dosyc | dosyć }  
{ dotad | dotąd }  
{ dotrzec | dotrzeć }  
{ dotychczas | dotychczas }  
{ dotyczyc | dotyczyć }  
{ dowiedziec | dowiedzieć }  
{ dowod | dowód }  
{ dowodca | dowódca }  
{ drapiezny | drapieżny }  
{ drewniany | drewniany }  
{ drewno | drewno }  
{ drobne | drobne }  
{ drobny | drobny }  
{ droga | droga }  
{ drogi | drogi }  
{ drugi | drugi }  
{ druzyna | drużyna }  
{ drzewo | drzewo }  
{ drzwi | drzwi }  
{ duch | duch }  
{ dunski | duński }  
{ dusza | dusza }  
{ duzo | dużo }  
{ duzy | duży }  
{ dwa | dwa }  
{ dwadziescia | dwadzieścia }  
{ dwaj | dwaj }  
{ dwanascie | dwanaście }  
{ dwoje | dwoje }  
{ dwor | dwór }  
{ dwudziesty | dwudziesty }  
{ dym | dym }  
{ dyrektor | dyrektor }  
{ dyskusja | dyskusja }  
{ dziac | dziać }  
{ dziadek | dziadek }  
{ dzial | dział }  
{ dzialac | działać }  
{ dzialalnosc | działalność }  
{ dzialanie | działanie }  
{ dzialo | działo }  
{ dzieciecy | dziecięcy }  
{ dziecko | dziecko }  
{ dziedzina | dziedzina }  
{ dzieje | dzieje }  
{ dzieki | dzięki }  
{ dzielic | dzielić }  
{ dzielnica | dzielnica }  
{ dzielo | dzieło }  
{ dzien | dzień }  
{ dziesiec | dziesięć }  
{ dziewczyna | dziewczyna }  
{ dziewczynka | dziewczynka }  
{ dziewiaty | dziewiąty }  
{ dziewiec | dziewięć }  
{ dziewiecdziesiat | dziewięćdziesiąt }  
{ dziki | dziki }  
{ dziob | dziób }  
{ dzis | dziś }  
{ dzisiaj | dzisiaj }  
{ dzisiejszy | dzisiejszy }  
{ dziura | dziura }  
{ dziwnie | dziwnie }  
{ dziwny | dziwny }  
{ dzwiek | dźwięk }  
{ efekt | efekt }  
{ egipt | Egipt }  
{ ego | ego }  
{ egzamin | egzamin }  
{ elektryczny | elektryczny }  
{ element | element }  
{ energia | energia }  
{ epoka | epoka }  
{ europa | Europa }  
{ europejska | europejska }  
{ europejski | europejski }  
{ fabryka | fabryka }  
{ facet | facet }  
{ fakt | fakt }  
{ fala | fala }  
{ falszywy | fałszywy }  
{ farba | farba }  
{ figura | figura }  
{ film | film }  
{ filmowy | filmowy }  
{ filozofia | filozofia }  
{ finansowy | finansowy }  
{ firma | firma }  
{ fizyczny | fizyczny }  
{ flaga | flaga }  
{ forma | forma }  
{ formie | formie }  
{ fotografia | fotografia }  
{ fragment | fragment }  
{ francja | Francja }  
{ francuski | francuski }  
{ frank | frank }  
{ funkcja | funkcja }  
{ futro | futro }  
{ galaz | gałąź }  
{ gardlo | gardło }  
{ gatunek | gatunek }  
{ gaz | gaz }  
{ gazeta | gazeta }  
{ gdy | gdy }  
{ gdyby | gdyby }  
{ gdyz | gdyż }  
{ gdzie | gdzie }  
{ gdzies | gdzieś }  
{ general | generał }  
{ ges | gęś }  
{ gest | gest }  
{ gesty | gęsty }  
{ glab | głab }  
{ gleba | gleba }  
{ gleboki | głęboki }  
{ gleboko | głęboko }  
{ glod | głód }  
{ glos | głos }  
{ glosno | głośno }  
{ glosny | głośny }  
{ glowa | głowa }  
{ glownie | głównie }  
{ glowny | główny }  
{ lupek | łupek }  
{ glupi | głupi }  
{ glupiec | głupiec }  
{ glupota | głupota }  
{ gmina | gmina }  
{ gniazdo | gniazdo }  
{ gniew | gniew }  
{ go | go }  
{ godnosc | godność }  
{ godny | godny }  
{ godzina | godzina }  
{ golab | gołąb }  
{ gora | góra }  
{ goraco | gorąco }  
{ goracy | gorący }  
{ goraczka | gorączka }  
{ gorny | górny }  
{ gorski | górski }  
{ gosc | gość }  
{ gospodarczy | gospodarczy }  
{ gospodarka | gospodarka }  
{ gospodarz | gospodarz }  
{ gotow | gotów }  
{ gotowac | gotować }  
{ gotowy | gotowy }  
{ gra | gra }  
{ grac | grać }  
{ granica | granica }  
{ graniczyc | graniczyć }  
{ grecja | Grecja }  
{ grecki | grecki }  
{ grob | grób }  
{ gruby | gruby }  
{ grudzien | grudzień }  
{ grunt | grunt }  
{ grupa | grupa }  
{ grzech | grzech }  
{ grzyb | grzyb }  
{ gwaltownie | gwałtownie }  
{ gwaltowny | gwałtowny }  
{ gwiazda | gwiazda }  
{ gwiazdozbior | gwiazdozbiór }  
{ halas | hałas }  
{ handel | handel }  
{ handlowy | handlowy }  
{ haslo | hasło }  
{ hej | hej }  
{ herb | herb }  
{ herbata | herbata }  
{ historia | historia }  
{ historyczny | historyczny }  
{ hiszpania | Hiszpania }  
{ hiszpanski | hiszpański }  
{ hodowac | hodować }  
{ holandia | Holandia }  
{ hotel | hotel }  
{ hrabia | hrabia }  
{ i | i }  
{ ich | ich }  
{ idea | idea }  
{ igla | igła }  
{ ile | ile }  
{ ilosc | ilość }  
{ im | im }  
{ imie | imię }  
{ imperium | imperium }  
{ impreza | impreza }  
{ inaczej | inaczej }  
{ indie | Indie }  
{ informacja | informacja }  
{ inny | inny }  
{ instrument | instrument }  
{ instytucja | instytucja }  
{ intensywny | intensywny }  
{ interes | interes }  
{ internetowy | internetowy }  
{ isc | iść }  
{ istniec | istnieć }  
{ istnienie | istnienie }  
{ istota | istota }  
{ istotnie | istotnie }  
{ istotny | istotny }  
{ itp | itp }  
{ iz | iż }  
{ izrael | Izrael }  
{ ja | ja }  
{ jablko | jabłko }  
{ jadalny | jadalny }  
{ jadro | jądro }  
{ jajko | jajko }  
{ jajo | jajo }  
{ jak | jak }  
{ jakby | jakby }  
{ jaki | jaki }  
{ jakis | jakiś }  
{ jako | jako }  
{ jakos | jakoś }  
{ jakosc | jakość }  
{ jakze | jakże }  
{ jan | Jan }  
{ japonia | Japonia }  
{ japonski | japoński }  
{ jasno | jasno }  
{ jasny | jasny }  
{ jazda | jazda }  
{ jechac | jechać }  
{ jeden | jeden }  
{ jedenascie | jedenaście }  
{ jednak | jednak }  
{ jednakze | jednakże }  
{ jedno | jedno }  
{ jednoczesnie | jednocześnie }  
{ jednostka | jednostka }  
{ jedynie | jedynie }  
{ jedyny | jedyny }  
{ jedzenie | jedzenie }  
{ jego | jego }  
{ jej | jej }  
{ jesc | jeść }  
{ jesien | jesień }  
{ jesli | jeśli }  
{ jest | jest }  
{ jeszcze | jeszcze }  
{ jezdzic | jeździć }  
{ jezeli | jeżeli }  
{ jezioro | jezioro }  
{ jezus | Jezus }  
{ jezyk | język }  
{ jutro | jutro }  
{ juz | już }  
{ kaczka | kaczka }  
{ kalendarz | kalendarz }  
{ kamien | kamień }  
{ kanal | kanał }  
{ kapelusz | kapelusz }  
{ kapitan | kapitan }  
{ kara | kara }  
{ karta | karta }  
{ kartka | kartka }  
{ kat | kat }  
{ katastrofa | katastrofa }  
{ katolicki | katolicki }  
{ kawa | kawa }  
{ kawalek | kawałek }  
{ kazdy | każdy }  
{ kiedy | kiedy }  
{ kiedykolwiek | kiedykolwiek }  
{ kiedys | kiedyś }  
{ kierowac | kierować }  
{ kierowca | kierowca }  
{ kierunek | kierunek }  
{ kieszen | kieszeń }  
{ kij | kij }  
{ kilka | kilka }  
{ kilkanascie | kilkanaście }  
{ kilometr | kilometr }  
{ kino | kino }  
{ klasa | klasa }  
{ klasc | kłaść }  
{ klasztor | klasztor }  
{ klient | klient }  
{ klimat | klimat }  
{ klopot | kłopot }  
{ klub | klub }  
{ klucz | klucz }  
{ kobiecy | kobiecy }  
{ kobieta | kobieta }  
{ kochac | kochać }  
{ kochanie | kochanie }  
{ kogo | kogo }  
{ kogos | kogoś }  
{ kolacja | kolacja }  
{ kolano | kolano }  
{ kolega | kolega }  
{ kolej | kolej }  
{ kolejny | kolejny }  
{ kolejowy | kolejowy }  
{ kolo | koło }  
{ kolor | kolor }  
{ kolorowy | kolorowy }  
{ kolumna | kolumna }  
{ komorka | komórka }  
{ komputer | komputer }  
{ komputerowy | komputerowy }  
{ komus | komuś }  
{ kon | koń }  
{ koncert | koncert }  
{ koncu | końcu }  
{ konczyc | kończyć }  
{ konflikt | konflikt }  
{ koniec | koniec }  
{ koniecznie | koniecznie }  
{ konstrukcja | konstrukcja }  
{ kontakt | kontakt }  
{ kontrola | kontrola }  
{ kontynent | kontynent }  
{ korona | korona }  
{ korytarz | korytarz }  
{ korzen | korzeń }  
{ korzysc | korzyść }  
{ korzystac | korzystać }  
{ kosc | kość }  
{ kosci | kości }  
{ koscielny | kościelny }  
{ kosciol | kościół }  
{ kostka | kostka }  
{ kosz | kosz }  
{ koszt | koszt }  
{ kosztowac | kosztować }  
{ koszula | koszula }  
{ kot | kot }  
{ koza | koza }  
{ kraina | kraina }  
{ kraj | kraj }  
{ krakow | Kraków }  
{ krew | krew }  
{ krok | krok }  
{ krol | król }  
{ krolestwo | królestwo }  
{ krolewski | królewski }  
{ krolowa | królowa }  
{ krotki | krótki }  
{ krotko | krótko }  
{ krowa | krowa }  
{ krwi | krwi }  
{ krzeslo | krzesło }  
{ krzew | krzew }  
{ krzyk | krzyk }  
{ krzyz | krzyż }  
{ ksiadz | ksiądz }  
{ ksiaze | książę }  
{ ksiazka | książka }  
{ ksiega | księga }  
{ ksiezyc | księżyc }  
{ ksztalcie | kształcie }  
{ ksztalt | kształt }  
{ kto | kto }  
{ ktokolwiek | ktokolwiek }  
{ ktorego | którego }  
{ ktory | który }  
{ ktorys | któryś }  
{ ktos | ktoś }  
{ ktoz | któż }  
{ ku | ku }  
{ kuchnia | kuchnia }  
{ kula | kula }  
{ kult | kult }  
{ kultura | kultura }  
{ kupic | kupić }  
{ kupowac | kupować }  
{ kura | kura }  
{ kurs | kurs }  
{ kwestia | kwestia }  
{ kwiat | kwiat }  
{ kwiecien | kwiecień }  
{ lacinski | łaciński }  
{ laczyc | łączyć }  
{ lada | lada }  
{ ladny | ładny }  
{ lagodnie | łagodnie }  
{ lagodny | łagodny }  
{ laka | łąka }  
{ lampa | lampa }  
{ las | las }  
{ lata | lata }  
{ latac | latać }  
{ lato | lato }  
{ latwo | łatwo }  
{ latwy | łatwy }  
{ leb | łeb }  
{ leciec | lecieć }  
{ lecz | lecz }  
{ leczenie | leczenie }  
{ ledwie | ledwie }  
{ ledwo | ledwo }  
{ lek | lek }  
{ lekarz | lekarz }  
{ lekcja | lekcja }  
{ lekki | lekki }  
{ lekko | lekko }  
{ letni | letni }  
{ lew | lew }  
{ lewo | lewo }  
{ lewy | lewy }  
{ lezec | leżeć }  
{ liczba | liczba }  
{ liczny | liczny }  
{ liczyc | liczyć }  
{ lina | lina }  
{ linia | linia }  
{ lipiec | lipiec }  
{ lis | lis }  
{ lisc | liść }  
{ list | list }  
{ lista | lista }  
{ listopad | listopad }  
{ litera | litera }  
{ literacki | literacki }  
{ literatura | literatura }  
{ litwa | Litwa }  
{ lod | lód }  
{ lodz | Łódź }  
{ los | los }  
{ lot | lot }  
{ lotniczy | lotniczy }  
{ lotnisko | lotnisko }  
{ lozko | łóżko }  
{ lub | lub }  
{ lubic | lubić }  
{ lud | lud }  
{ ludnosc | ludność }  
{ ludowy | ludowy }  
{ ludzie | ludzie }  
{ ludzki | ludzki }  
{ luk | łuk }  
{ lustro | lustro }  
{ luty | luty }  
{ lyzka | łyżka }  
{ ma | ma }  
{ madry | mądry }  
{ maj | maj }  
{ majatek | majątek }  
{ major | major }  
{ majuskula | majuskuła }  
{ maka | mąka }  
{ malo | mało }  
{ malowac | malować }  
{ malpa | małpa }  
{ maly | mały }  
{ malzenstwo | małżeństwo }  
{ mama | mama }  
{ mapa | mapa }  
{ marka | marka }  
{ martwy | martwy }  
{ mary | Mary }  
{ marzec | marzec }  
{ masa | masa }  
{ maslo | masło }  
{ maszyna | maszyna }  
{ matematyka | matematyka }  
{ material | materiał }  
{ matka | matka }  
{ maz | mąż }  
{ mebel | mebel }  
{ mecz | mecz }  
{ medycyna | medycyna }  
{ meski | męski }  
{ metal | metal }  
{ metalowy | metalowy }  
{ metoda | metoda }  
{ metr | metr }  
{ mezczyzna | mężczyzna }  
{ mgla | mgła }  
{ mi | mi }  
{ mial | miał }  
{ mianowicie | mianowicie }  
{ miara | miara }  
{ miasto | miasto }  
{ miec | mieć }  
{ miecz | miecz }  
{ miedzy | między }  
{ miedzynarodowy | międzynarodowy }  
{ miejsce | miejsce }  
{ miejscowosc | miejscowość }  
{ miejski | miejski }  
{ miekki | miękki }  
{ mierzyc | mierzyć }  
{ miesiac | miesiąc }  
{ miesien | mięsień }  
{ mieso | mięso }  
{ mieszkac | mieszkać }  
{ mieszkanie | mieszkanie }  
{ mieszkaniec | mieszkaniec }  
{ mieszkanka | mieszkanka }  
{ milczenie | milczenie }  
{ milion | milion }  
{ milo | miło }  
{ milosc | miłość }  
{ mily | miły }  
{ mimo | mimo }  
{ mineral | minerał }  
{ minister | minister }  
{ minuskula | minuskuła }  
{ minuta | minuta }  
{ miod | miód }  
{ mistrz | mistrz }  
{ mleko | mleko }  
{ mlody | młody }  
{ mlodzieniec | młodzieniec }  
{ mnostwo | mnóstwo }  
{ moc | moc }  
{ mocno | mocno }  
{ mocny | mocny }  
{ mocz | mocz }  
{ model | model }  
{ modlitwa | modlitwa }  
{ moj | mój }  
{ moje | moje }  
{ moment | moment }  
{ moneta | moneta }  
{ moralny | moralny }  
{ morski | morski }  
{ morze | morze }  
{ most | most }  
{ motyl | motyl }  
{ mowa | mowa }  
{ mowic | mówić }  
{ moze | może }  
{ mozg | mózg }  
{ mozliwe | możliwe }  
{ mozliwosc | możliwość }  
{ mozliwy | możliwy }  
{ mozna | można }  
{ mrok | mrok }  
{ mrowka | mrówka }  
{ mur | mur }  
{ musiec | musieć }  
{ muzeum | muzeum }  
{ muzyczny | muzyczny }  
{ muzyk | muzyk }  
{ muzyka | muzyka }  
{ my | my }  
{ mysl | myśl }  
{ myslec | myśleć }  
{ mysz | mysz }  
{ na | na }  
{ naczynie | naczynie }  
{ nad | nad }  
{ nadal | nadal }  
{ nadawac | nadawać }  
{ nadmierny | nadmierny }  
{ nadzieja | nadzieja }  
{ nagle | nagle }  
{ nagly | nagły }  
{ naj | naj }  
{ najpierw | najpierw }  
{ nalezec | należeć }  
{ nalezy | należy }  
{ napisac | napisać }  
{ napoj | napój }  
{ naprawde | naprawdę }  
{ naprzeciw | naprzeciw }  
{ naprzod | naprzód }  
{ naraz | naraz }  
{ nareszcie | nareszcie }  
{ narkotyk | narkotyk }  
{ narod | naród }  
{ narodowosc | narodowość }  
{ narodowy | narodowy }  
{ narodzenie | narodzenie }  
{ narzad | narząd }  
{ narzedzie | narzędzie }  
{ nasienie | nasienie }  
{ nasiono | nasiono }  
{ nastepnie | następnie }  
{ nastepny | następny }  
{ nastepować | następować }  
{ nastroj | nastrój }  
{ nasz | nasz }  
{ natomiast | natomiast }  
{ natura | natura }  
{ naturalnie | naturalnie }  
{ naturalny | naturalny }  
{ natychmiast | natychmiast }  
{ nauczyc | nauczyć }  
{ nauczyciel | nauczyciel }  
{ nauczycielka | nauczycielka }  
{ nauka | nauka }  
{ naukowiec | naukowiec }  
{ naukowy | naukowy }  
{ nawet | nawet }  
{ nawzajem | nawzajem }  
{ nazajutrz | nazajutrz }  
{ nazewnatrz | na zewnątrz }  
{ nazwa | nazwa }  
{ nazwac | nazwać }  
{ nazwisko | nazwisko }  
{ nazywac | nazywać }  
{ nerwowo | nerwowo }  
{ ni | ni }  
{ niby | niby }  
{ nic | nic }  
{ niczego | niczego }  
{ nie | nie }  
{ niebawem | niebawem }  
{ niebezpieczenstwo | niebezpieczeństwo }  
{ niebezpieczny | niebezpieczny }  
{ niebieski | niebieski }  
{ niebo | niebo }  
{ niech | niech }  
{ niechec | niechęć }  
{ niechetnie | niechętnie }  
{ niecierpliwie | niecierpliwie }  
{ nieco | nieco }  
{ niedaleko | niedaleko }  
{ niedawno | niedawno }  
{ niedlugo | niedługo }  
{ niedziela | niedziela }  
{ niedzwiedz | niedźwiedź }  
{ niegdys | niegdyś }  
{ niekiedy | niekiedy }  
{ niektory | niektóry }  
{ niemal | niemal }  
{ niemcy | Niemcy }  
{ niemiec | Niemiec }  
{ niemiecki | niemiecki }  
{ niepewnie | niepewnie }  
{ niepokoj | niepokój }  
{ nieprzyjemny | nieprzyjemny }  
{ nieraz | nieraz }  
{ nieruchomo | nieruchomo }  
{ niesc | nieść }  
{ niespodziewanie | niespodziewanie }  
{ niestety | niestety }  
{ nieszczescie | nieszczęście }  
{ nieustannie | nieustannie }  
{ niewatpliwie | niewątpliwie }  
{ niewiele | niewiele }  
{ niewielki | niewielki }  
{ niewolnik | niewolnik }  
{ niezaleznie | niezależnie }  
{ niezbyt | niezbyt }  
{ niezle | nieźle }  
{ niezmiernie | niezmiernie }  
{ niezwykle | niezwykle }  
{ niezwykly | niezwykły }  
{ nigdy | nigdy }  
{ nigdzie | nigdzie }  
{ nikogo | nikogo }  
{ nikt | nikt }  
{ nim | nim }  
{ niski | niski }  
{ nisko | nisko }  
{ niszczyc | niszczyć }  
{ niz | niż }  
{ no | no }  
{ noc | noc }  
{ nocny | nocny }  
{ noga | noga }  
{ norma | norma }  
{ nos | nos }  
{ nosic | nosić }  
{ nowa | nowa }  
{ nowo | nowo }  
{ nowy | nowy }  
{ noz | nóż }  
{ nozna | nożna }  
{ np | np }  
{ numer | numer }  
{ o | o }  
{ oba | oba }  
{ obaj | obaj }  
{ obchodzic | obchodzić }  
{ obcy | obcy }  
{ obecnie | obecnie }  
{ obecnosc | obecność }  
{ obecny | obecny }  
{ obejmowac | obejmować }  
{ obejrzec | obejrzeć }  
{ obiad | obiad }  
{ obiekt | obiekt }  
{ oboje | oboje }  
{ obok | obok }  
{ obowiazek | obowiązek }  
{ obowiazywac | obowiązywać }  
{ oboz | obóz }  
{ obraz | obraz }  
{ obrona | obrona }  
{ obrot | obrót }  
{ obserwowac | obserwować }  
{ obszar | obszar }  
{ obwod | obwód }  
{ obywatel | obywatel }  
{ obywatelka | obywatelka }  
{ ocean | ocean }  
{ ocena | ocena }  
{ och | och }  
{ ochrona | ochrona }  
{ oczekiwac | oczekiwać }  
{ oczy | oczy }  
{ oczywiscie | oczywiście }  
{ od | od }  
{ odbywac | odbywać }  
{ odcien | odcień }  
{ odcinek | odcinek }  
{ odczuwac | odczuwać }  
{ oddac | oddać }  
{ oddawac | oddawać }  
{ oddech | oddech }  
{ oddzial | oddział }  
{ odejsc | odejść }  
{ odglos | odgłos }  
{ odkad | odkąd }  
{ odkryc | odkryć }  
{ odleglosc | odległość }  
{ odmiana | odmiana }  
{ odnalezc | odnaleźć }  
{ odnosic | odnosić }  
{ odpowiadac | odpowiadać }  
{ odpowiedni | odpowiedni }  
{ odpowiedz | odpowiedź }  
{ odpowiedziec | odpowiedzieć }  
{ odwaga | odwaga }  
{ odwazny | odważny }  
{ odziez | odzież }  
{ ofiara | ofiara }  
{ oficer | oficer }  
{ oficjalny | oficjalny }  
{ ogien | ogień }  
{ ogladac | oglądać }  
{ ogol | ogół }  
{ ogolny | ogólny }  
{ ogon | ogon }  
{ ogrod | ogród }  
{ ogromnie | ogromnie }  
{ ogromny | ogromny }  
{ ojciec | ojciec }  
{ ojczyzna | ojczyzna }  
{ okazac | okazać }  
{ okazja | okazja }  
{ okno | okno }  
{ oko | oko }  
{ okolica | okolica }  
{ okolicznosc | okoliczność }  
{ okolo | około }  
{ okragly | okrągły }  
{ okres | okres }  
{ okreslac | określać }  
{ okreslenie | określenie }  
{ okreslony | określony }  
{ okresowy | okresowy }  
{ okret | okręt }  
{ okropnie | okropnie }  
{ okropny | okropny }  
{ okrzyk | okrzyk }  
{ olej | olej }  
{ omal | omal }  
{ on | on }  
{ ona | ona }  
{ one | one }  
{ oni | oni }  
{ ono | ono }  
{ operacja | operacja }  
{ opieka | opieka }  
{ opinia | opinia }  
{ opisac | opisać }  
{ oplata | opłata }  
{ opowiadac | opowiadać }  
{ opowiedziec | opowiedzieć }  
{ opowiesc | opowieść }  
{ oprocz | oprócz }  
{ opuscic | opuścić }  
{ oraz | oraz }  
{ organ | organ }  
{ organizacja | organizacja }  
{ organizm | organizm }  
{ orzel | orzeł }  
